"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",289504.307897332,533581.408065426,0.542568207065104,0.587431014124125
"2","Days",3526.33471699091,5444.02109016679,0.647744499623691,0.517154989636928
"3","sin(2 * pi * Days)",-13247568333.2993,6739504078.75202,-1.96565922039659,0.0493468546892791
"4","sin(1/2 * pi * Days)",-0.0403152785439457,0.0522998266112138,-0.770849181654869,0.440802176276272
"5","cos(1/2 * pi * Days)",0.0824353988623221,0.0522998150682661,1.57620822855149,0.114987974168499
"6","sin(1/4 * pi * Days)",-0.017417007208838,0.052299989676972,-0.333021236073147,0.739120493592174
"7","cos(1/4 * pi * Days)",-0.00417514069902927,0.0523001839886226,-0.0798303252611411,0.936372717852393
"8","sin(1/6 * pi * Days)",-0.0906807835861794,0.0522985798695305,-1.73390527644156,0.0829447819154323
"9","cos(1/6 * pi * Days)",0.0932515672333456,0.0523010837822598,1.7829758102446,0.0745999725130337
"10","sin(1/8 * pi * Days)",0.00519740927996531,0.0522990099317166,0.099378731772384,0.920838208016506
"11","sin(1/10 * pi * Days)",0.00684213991573859,0.052299891948455,0.130825125269512,0.895914491245693
"12","sin(1/2000 * pi * Days)",0.0586105510443094,0.0544502618061186,1.07640531193412,0.281754361203556
"13","cos(1/20000 * pi * Days)",-158.481924623434,269.36345173535,-0.588357193978724,0.556296827661157
"14","sin(1/40000 * pi * Days)",18628.4468429026,28544.2263688509,0.652616981178058,0.514008049570263
"15","cos(1/80000 * pi * Days)",74347.0240333996,136325.357517827,0.545364599712695,0.585506686016032
"16","sin(1/120000 * pi * Days)",-182808896.684178,282103488.82126,-0.648020687188331,0.516976344816615
"17","sin(1/150000 * pi * Days)",845788478.806489,1305479595.54183,0.647875678558923,0.517070135931881
"18","cos(1/180000 * pi * Days)",-363691.698642452,669637.23378672,-0.54311749749311,0.587052790841024
"19","sin(1/190000 * pi * Days)",-995241895.329458,1536325761.54808,-0.647806552645842,0.517114849451876
