"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",288826.414955067,533617.698031778,0.541260936472663,0.588331609737711
"2","Days",3522.83546359894,5444.39169753123,0.64705768051119,0.517599378088872
"3","sin(1/2000 * pi * Days)",0.0586003611984816,0.0544539841175706,1.07614460444177,0.281870919008718
"4","cos(1/20000 * pi * Days)",-158.170611160426,269.381784431242,-0.587161494584272,0.557099503148305
"5","sin(1/40000 * pi * Days)",18618.812685548,28546.1685954993,0.65223508448288,0.51425433961399
"6","cos(1/80000 * pi * Days)",74174.5957905715,136334.629663812,0.54406276654346,0.586402172785672
"7","sin(1/120000 * pi * Days)",-182628732.916408,282122693.354351,-0.647337974641488,0.51741799663089
"8","sin(1/150000 * pi * Days)",844951783.512676,1305568467.61916,0.647190710000477,0.517513289120193
"9","cos(1/180000 * pi * Days)",-362841.689410346,669682.777555359,-0.54181128971971,0.587952386040147
"10","sin(1/190000 * pi * Days)",-994255663.658232,1536430348.69509,-0.647120557402854,0.517558686888322
